soc2018_title,soc2018_code,employment_2024_thousands,employment_2034_thousands,employment_change_24to34_thousands,employment_change_24to34_percent,employment_change_24to34_thousands_annual_average,median_annual_wage_2024,typical_entry_level_edu,education_code,work_experience_in_a_related_occupation,work_exp_code,typical_ojt,ojt_code
"Service unit operators, oil and gas",47-5013,45.2,45.4,0.2,0.4,4.1,57980,No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,4
"Rail yard engineers, dinkey operators, and hostlers",53-4013,3.1,3.1,0,0.3,0.2,58030,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Social science research assistants,19-4061,40.6,42.3,1.8,4.4,5.2,58040,Bachelor's degree,3,None,4,None,6
"Tank car, truck, and ship loaders",53-7121,12,12.5,0.5,4.3,1.3,58070,No formal educational credential,8,None,4,Short-term on-the-job training,5
Farm and home management educators,25-9021,12.4,12.1,-0.3,-2.5,1.1,58120,Master's degree,2,None,4,None,6
Drywall and ceiling tile installers,47-2081,103.1,107.4,4.3,4.2,7.7,58140,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Exercise physiologists,29-1128,23.9,26.1,2.3,9.5,1.7,58160,Bachelor's degree,3,None,4,None,6
Water and wastewater treatment plant and system operators,51-8031,132.4,123.8,-8.7,-6.5,10.7,58260,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Paramedics,29-2043,101.9,107,5.1,5,4.9,58410,Postsecondary nondegree award,5,Less than 5 years,2,None,6
Occupational health and safety technicians,19-5012,31.9,34.6,2.7,8.5,3.4,58440,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Traffic technicians,53-6041,7.9,8.2,0.3,3.7,0.8,58480,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bridge and lock tenders,53-6011,2.9,2.8,-0.1,-3.3,0.3,58490,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Refractory materials repairers, except brickmasons",49-9045,1.1,0.9,-0.2,-16.9,0.1,58540,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Child, family, and school social workers",21-1021,399.9,413.3,13.4,3.4,35.1,58570,Bachelor's degree,3,None,4,None,6
Hydrologic technicians,19-4044,3.1,3,-0.1,-2.1,0.4,58570,Associate's degree,4,None,4,Moderate-term on-the-job training,4
First-line supervisors of security workers,33-1091,71.9,73.8,1.9,2.7,7,58610,High school diploma or equivalent,7,Less than 5 years,2,None,6
Operating engineers and other construction equipment operators,47-2073,489.3,507.1,17.8,3.6,41.9,58710,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Environmental engineering technologists and technicians,17-3025,12.9,13,0.1,1.2,1.1,58890,Associate's degree,4,None,4,None,6
"Explosives workers, ordnance handling experts, and blasters",47-5032,5.8,5.8,-0.1,-0.9,0.5,59110,High school diploma or equivalent,7,Less than 5 years,2,Long-term on-the-job training,3
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,483.5,564.6,81,16.8,48.3,59190,Master's degree,2,None,4,Internship/residency,1
Reinforcing iron and rebar workers,47-2171,19.4,20.3,0.9,4.6,1.5,59280,High school diploma or equivalent,7,None,4,Apprenticeship,2
Security and fire alarm systems installers,49-2098,85.9,94.9,8.9,10.4,9.4,59300,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Carpenters,47-2031,959,1002.1,43.1,4.5,74.1,59310,High school diploma or equivalent,7,None,4,Apprenticeship,2
"First-line supervisors of farming, fishing, and forestry workers",45-1011,65.4,67,1.6,2.5,8.5,59330,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Meeting, convention, and event planners",13-1121,155.8,163.3,7.5,4.8,15.5,59440,Bachelor's degree,3,None,4,None,6
Interpreters and translators,27-3091,75.3,76.6,1.3,1.7,6.9,59440,Bachelor's degree,3,None,4,None,6
Firefighters,33-2011,344.9,356.7,11.8,3.4,27.1,59530,Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
"Earth drillers, except oil and gas",47-5023,18.3,18.8,0.5,2.9,1.7,59600,High school diploma or equivalent,7,Less than 5 years,2,Long-term on-the-job training,3
"Tax examiners and collectors, and revenue agents",13-2081,57.6,56.5,-1,-1.8,4.3,59740,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,425.2,459.7,34.5,8.1,40.1,59810,Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
"Adult basic education, adult secondary education, and english as a second language instructors",25-3011,40.9,35.3,-5.6,-13.7,3.9,59950,Bachelor's degree,3,None,4,None,6
"Pump operators, except wellhead pumpers",53-7072,13.1,13.5,0.3,2.6,1.5,60020,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Mental health and substance abuse social workers,21-1023,136.8,150.1,13.3,9.7,13.5,60060,Master's degree,2,None,4,Internship/residency,1
"Life, physical, and social science technicians, all other",19-4099,83.2,86.2,2.9,3.5,10.6,60130,Associate's degree,4,None,4,None,6
Athletic trainers,29-9091,33.9,37.6,3.8,11.1,2.4,60250,Master's degree,2,None,4,None,6
Recreational therapists,29-1125,16.1,16.6,0.5,3.3,1.3,60280,Bachelor's degree,3,None,4,None,6
"News analysts, reporters, and journalists",27-3023,49.3,47.4,-1.9,-3.9,4.1,60280,Bachelor's degree,3,None,4,None,6
Surgical assistants,29-9093,25.3,26.6,1.3,5.1,1.6,60290,Postsecondary nondegree award,5,None,4,None,6
Computer user support specialists,15-1232,729.5,702.5,-27,-3.7,40.8,60340,"Some college, no degree",6,None,4,Moderate-term on-the-job training,4
Insurance sales agents,41-3021,568.8,589.8,21.1,3.7,47,60370,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Judicial law clerks,23-1012,14.5,14.9,0.4,2.5,1,60400,Doctoral or professional degree,1,None,4,None,6
"Maintenance workers, machinery",49-9043,57.5,55.9,-1.6,-2.8,4.8,60500,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Fine artists, including painters, sculptors, and illustrators",27-1013,26.5,26.2,-0.3,-1.2,2.2,60560,Bachelor's degree,3,None,4,Long-term on-the-job training,3
Lighting technicians,27-4015,12.1,11.5,-0.6,-4.6,0.8,60560,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Bus and truck mechanics and diesel engine specialists,49-3031,319.9,327.7,7.8,2.4,26.5,60640,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Watch and clock repairers,49-9064,1.4,1.4,0,-1.1,0.1,60690,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Brickmasons and blockmasons,47-2021,74.1,76.4,2.4,3.2,5.6,60800,High school diploma or equivalent,7,None,4,Apprenticeship,2
Clergy,21-2011,262,264.6,2.6,1,23,60820,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Sheet metal workers,47-2211,127,130.1,3.1,2.4,10.6,60850,High school diploma or equivalent,7,None,4,Apprenticeship,2
Chefs and head cooks,35-1011,197.3,211.3,14,7.1,24.4,60990,High school diploma or equivalent,7,5 years or more,1,None,6
Paralegals and legal assistants,23-2011,376.2,376.8,0.6,0.2,39.3,61010,Associate's degree,4,None,4,None,6
Commercial divers,49-9092,4.2,4.5,0.4,8.5,0.4,61130,Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Graphic designers,27-1024,265.9,271.5,5.7,2.1,20,61300,Bachelor's degree,3,None,4,None,6
"Personal service managers, all other",11-7900,25.1,26.7,1.6,6.5,2.1,61340,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Kindergarten teachers, except special education",25-2012,117.2,115.2,-1.9,-1.6,12.8,61430,Bachelor's degree,3,None,4,None,6
Advertising sales agents,41-3011,103.7,97.1,-6.6,-6.4,9.3,61460,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Career/technical education teachers, postsecondary",25-1194,122.2,123,0.8,0.7,8.8,61490,Bachelor's degree,3,Less than 5 years,2,None,6
Hearing aid specialists,29-2092,10.7,12.6,2,18.4,1,61560,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Archivists,25-4011,9.3,9.7,0.4,3.8,1.1,61570,Master's degree,2,None,4,None,6
First-line supervisors of gambling services workers,39-1013,32.5,33.1,0.6,2,3.3,61590,High school diploma or equivalent,7,Less than 5 years,2,None,6
Postal service clerks,43-5051,74.2,71.6,-2.6,-3.5,6.1,61630,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,33.6,28.7,-4.9,-14.5,2.8,61680,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Plant and system operators, all other",51-8099,16.3,16.6,0.3,1.6,1.6,61710,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Curators,25-4012,15.1,16.2,1.1,7,1.8,61770,Master's degree,2,None,4,None,6
"Layout workers, metal and plastic",51-4192,5.7,5.4,-0.3,-5.4,0.5,61870,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,609.6,632.2,22.5,3.7,61.3,61890,High school diploma or equivalent,7,Less than 5 years,2,None,6
Clinical laboratory technologists and technicians,29-2010,351.2,357.2,6,1.7,22.6,61890,Bachelor's degree,3,None,4,None,6
"Drafters, all other",17-3019,17.1,15.9,-1.2,-6.9,1.3,62010,Associate's degree,4,None,4,None,6
Riggers,49-9096,24.6,25.4,0.8,3.2,2.5,62060,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Special education teachers, preschool",25-2051,29.3,29.7,0.4,1.4,2.1,62190,Bachelor's degree,3,None,4,None,6
Licensed practical and licensed vocational nurses,29-2061,651.4,668.5,17.1,2.6,54.4,62340,Postsecondary nondegree award,5,None,4,None,6
"Elementary school teachers, except special education",25-2021,1422.7,1394.8,-27.9,-2,91,62340,Bachelor's degree,3,None,4,None,6
Electricians,47-2111,818.7,896.1,77.4,9.5,81,62350,High school diploma or equivalent,7,None,4,Apprenticeship,2
Athletes and sports competitors,27-2021,19.1,20.2,1,5.5,2.1,62360,No formal educational credential,8,None,4,Long-term on-the-job training,3
Wind turbine service technicians,49-9081,13.6,20.5,6.8,49.9,2.3,62580,Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
Medical equipment repairers,49-9062,68,76.8,8.8,12.9,7.3,62630,Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Telecommunications equipment installers and repairers, except line installers",49-2022,156.9,150.4,-6.6,-4.2,13.2,62630,Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Structural iron and steel workers,47-2221,65.7,68.6,2.9,4.4,5.5,62700,High school diploma or equivalent,7,None,4,Apprenticeship,2
"Model makers, metal and plastic",51-4061,3.2,2.6,-0.6,-18.2,0.3,62700,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Derrick operators, oil and gas",47-5011,11.3,11.3,0.1,0.5,1,62740,No formal educational credential,8,Less than 5 years,2,Short-term on-the-job training,5
Surgical technologists,29-2055,115.6,120.8,5.2,4.5,7,62830,Postsecondary nondegree award,5,None,4,None,6
Brokerage clerks,43-4011,40.8,36.9,-3.9,-9.5,4.1,62940,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Plumbers, pipefitters, and steamfitters",47-2152,504.5,527.2,22.7,4.5,44,62970,High school diploma or equivalent,7,None,4,Apprenticeship,2
"Middle school teachers, except special and career/technical education",25-2022,633.7,621.3,-12.4,-2,40.5,62970,Bachelor's degree,3,None,4,None,6
Health education specialists,21-1091,71.8,75,3.2,4.5,7.9,63000,Bachelor's degree,3,None,4,None,6
"Special education teachers, kindergarten and elementary school",25-2052,230.2,226.1,-4.1,-1.8,15.4,63000,Bachelor's degree,3,None,4,None,6
Tool and die makers,51-4111,55.2,49.3,-6,-10.8,4.7,63180,Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
Transportation security screeners,33-9093,50.1,47.1,-3,-6,4.7,63360,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Continuous mining machine operators,47-5041,14.9,15,0.1,0.6,1.6,63380,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Survey researchers,19-3022,8.8,8.3,-0.5,-5.2,0.7,63380,Master's degree,2,None,4,None,6
Interior designers,27-1025,87.1,89.9,2.8,3.2,7.8,63490,Bachelor's degree,3,None,4,None,6
"Career/technical education teachers, middle school",25-2023,14,13.8,-0.3,-2,0.9,63620,Bachelor's degree,3,Less than 5 years,2,None,6
Music directors and composers,27-2041,47.3,47.2,-0.1,-0.3,4.3,63670,Bachelor's degree,3,Less than 5 years,2,None,6
Industrial machinery mechanics,49-9041,439.6,510.3,70.7,16.1,45.7,63760,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Marriage and family therapists,21-1013,77.8,87.7,9.8,12.6,7.7,63780,Master's degree,2,None,4,Internship/residency,1
"Career/technical education teachers, secondary school",25-2032,103.4,101.5,-1.9,-1.8,6.2,63910,Bachelor's degree,3,Less than 5 years,2,None,6
Aircraft cargo handling supervisors,53-1041,10.3,10.8,0.5,5.2,1.1,63940,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Mobile heavy equipment mechanics, except engines",49-3042,188.7,199.6,10.9,5.8,16.5,63980,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Healthcare practitioners and technical workers, all other",29-9099,41.7,43.1,1.5,3.6,2.6,64030,Postsecondary nondegree award,5,None,4,None,6
"Radio, cellular, and tower equipment installers and repairers",49-2021,11.7,12.7,1,8.6,1.2,64190,Associate's degree,4,None,4,Moderate-term on-the-job training,4
Civil engineering technologists and technicians,17-3022,64.9,66.2,1.4,2.1,5.5,64200,Associate's degree,4,None,4,None,6
Architectural and civil drafters,17-3011,110.5,115.1,4.6,4.1,10,64280,Associate's degree,4,None,4,None,6
Librarians and media collections specialists,25-4022,142.1,144.5,2.4,1.7,13.5,64320,Master's degree,2,None,4,None,6
Probation officers and correctional treatment specialists,21-1092,92.3,94.8,2.4,2.6,7.9,64520,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Secondary school teachers, except special and career/technical education",25-2031,1094.5,1076.7,-17.8,-1.6,66.2,64580,Bachelor's degree,3,None,4,None,6
"Teachers and instructors, all other",25-3099,153.8,153.5,-0.2,-0.1,18,64690,Bachelor's degree,3,None,4,None,6
Tapers,47-2082,15.6,15.6,0,0.1,1.1,64700,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Industrial engineering technologists and technicians,17-3026,74.6,75.9,1.3,1.7,6.3,64790,Associate's degree,4,None,4,None,6
"Special education teachers, middle school",25-2057,94.8,93,-1.8,-1.9,6.3,64880,Bachelor's degree,3,None,4,None,6
Anthropologists and archeologists,19-3091,8.8,9.2,0.3,3.7,0.8,64910,Master's degree,2,None,4,None,6
"Therapists, all other",29-1129,56.1,62.5,6.4,11.5,4.1,65010,Bachelor's degree,3,None,4,None,6
"Rotary drill operators, oil and gas",47-5012,13.3,13.4,0,0.2,1.2,65010,No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,4
Calibration technologists and technicians,17-3028,15.8,16.5,0.7,4.7,1.4,65040,Associate's degree,4,None,4,None,6
"Educational, guidance, and career counselors and advisors",21-1012,376.3,389.6,13.3,3.5,31,65140,Master's degree,2,None,4,None,6
Millwrights,49-9044,41.3,41.3,0,0,3.6,65170,High school diploma or equivalent,7,None,4,Apprenticeship,2
Food service managers,11-5100,352.8,375.3,22.6,6.4,42,65310,High school diploma or equivalent,7,Less than 5 years,2,Short-term on-the-job training,5
Property appraisers and assessors,13-2020,77.3,80.2,2.9,3.8,6.3,65420,Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,11,11.1,0.1,1,1,65480,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Physical therapist assistants,31-2021,111.5,136,24.5,22,19.8,65510,Associate's degree,4,None,4,None,6
Computer numerically controlled tool programmers,51-9162,28.3,31.9,3.6,12.8,3.1,65670,Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Rail car repairers,49-3043,17.9,18.4,0.5,2.8,1.5,65680,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Training and development specialists,13-1151,452.3,501,48.7,10.8,43.9,65850,Bachelor's degree,3,Less than 5 years,2,None,6
First-line supervisors of office and administrative support workers,43-1011,1558.4,1554.4,-3.9,-0.3,144.5,66140,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Designers, all other",27-1029,28.6,29.2,0.6,2,2.2,66220,Bachelor's degree,3,None,4,None,6
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,1226.7,1264.7,37.9,3.1,123,66260,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Set and exhibit designers,27-1027,31.3,32,0.7,2.3,2.5,66280,Bachelor's degree,3,None,4,None,6
Crane and tower operators,53-7021,42.3,43.5,1.3,3,3.8,66370,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Sound engineering technicians,27-4014,16.9,16.6,-0.3,-1.7,1.2,66430,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Fundraisers,13-1131,134.4,140.2,5.8,4.3,10.2,66490,Bachelor's degree,3,None,4,None,6
"Property, real estate, and community association managers",11-4100,466.1,483.1,17,3.6,39,66700,High school diploma or equivalent,7,Less than 5 years,2,Short-term on-the-job training,5
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,1310.5,1314.9,4.4,0.3,114.8,66780,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Precision instrument and equipment repairers, all other",49-9069,10.8,11,0.2,2,1,67080,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Flight attendants,53-2031,130.8,142.9,12.1,9.2,19.8,67130,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Media and communication equipment workers, all other",27-4099,15.1,15.2,0.1,0.6,1.1,67190,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Underground mining machine operators, all other",47-5049,3.6,3.4,-0.2,-6.1,0.4,67220,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Cardiovascular technologists and technicians,29-2031,64.7,66.6,1.9,3,3.8,67260,Associate's degree,4,None,4,None,6
Health information technologists and medical registrars,29-9021,41.9,48.1,6.2,14.7,3.2,67310,Associate's degree,4,None,4,None,6
Court reporters and simultaneous captioners,27-3092,17.7,17.7,0,-0.3,1.7,67310,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Rail-track laying and maintenance equipment operators,47-4061,15,15.3,0.2,1.6,1.1,67370,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Special education teachers, all other",25-2059,41,41.5,0.4,1.1,2.9,67430,Bachelor's degree,3,None,4,None,6
Forensic science technicians,19-4092,20.7,23.3,2.6,12.8,2.9,67440,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Fabric and apparel patternmakers,51-6092,2.8,2.5,-0.3,-10.2,0.3,67670,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Arbitrators, mediators, and conciliators",23-1022,9.1,9.5,0.4,4.3,0.3,67710,Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
Conservation scientists,19-1031,28.5,29.5,1,3.4,2.5,67950,Bachelor's degree,3,None,4,None,6
Healthcare social workers,21-1022,193.2,208.1,14.8,7.7,18.4,68090,Master's degree,2,None,4,Internship/residency,1
Lodging managers,11-8100,52,53.8,1.8,3.4,5.4,68130,High school diploma or equivalent,7,Less than 5 years,2,None,6
Fish and game wardens,33-3031,7,6.6,-0.4,-6,0.5,68180,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Occupational therapy assistants,31-2011,49.2,58.7,9.5,19.2,7.2,68340,Associate's degree,4,None,4,None,6
Mechanical drafters,17-3013,42.9,40.1,-2.8,-6.5,3.3,68510,Associate's degree,4,None,4,None,6
Mechanical engineering technologists and technicians,17-3027,38.3,38.3,0,0,3.2,68730,Associate's degree,4,None,4,None,6
"Legal support workers, all other",23-2099,51.3,50.7,-0.6,-1.2,4.7,68760,Associate's degree,4,None,4,None,6
"Camera operators, television, video, and film",27-4031,36.4,36.9,0.4,1.2,2.9,68810,Bachelor's degree,3,None,4,None,6
"Loading and moving machine operators, underground mining",47-5044,6.4,5,-1.4,-22.3,0.5,68860,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Social workers, all other",21-1029,81,84.1,3.1,3.9,7,69480,Bachelor's degree,3,None,4,None,6
"Special education teachers, secondary school",25-2058,164.2,161.5,-2.6,-1.6,11.1,69590,Bachelor's degree,3,None,4,None,6
Public relations specialists,27-3031,315.9,331,15,4.8,27.6,69780,Bachelor's degree,3,None,4,None,6
Wellhead pumpers,53-7073,18.8,17.9,-0.9,-4.7,2,70010,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Telecommunications line installers and repairers,49-9052,99.9,96.8,-3.1,-3.1,8.9,70500,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Pile driver operators,47-2072,3.2,3.3,0.1,4.3,0.3,70510,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Foresters,19-1032,13.8,14,0.2,1.2,1.1,70660,Bachelor's degree,3,None,4,None,6
Electro-mechanical and mechatronics technologists and technicians,17-3024,15,15.1,0.2,1.1,1.3,70760,Associate's degree,4,None,4,None,6
Film and video editors,27-4032,43.5,45.2,1.7,4,3.6,70980,Bachelor's degree,3,None,4,None,6
First-line supervisors of production and operating workers,51-1011,698.6,706.9,8.3,1.2,67.7,71190,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,61.1,60.7,-0.5,-0.8,4.7,71300,Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
Soil and plant scientists,19-1013,20.7,21.8,1.1,5.4,1.7,71410,Bachelor's degree,3,None,4,None,6
"Criminal justice and law enforcement teachers, postsecondary",25-1111,16.2,16.5,0.3,2,1.2,71470,Doctoral or professional degree,1,None,4,None,6
"Mathematical science occupations, all other",15-2099,5,5.2,0.2,4,0.3,71490,Bachelor's degree,3,None,4,None,6
Gas compressor and gas pumping station operators,53-7071,5.4,5.3,-0.1,-1.3,0.6,71510,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Media and communication workers, all other",27-3099,34.3,35.3,0.9,2.7,3,71770,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Education teachers, postsecondary",25-1081,74.9,76.5,1.6,2.1,5.6,72090,Doctoral or professional degree,1,Less than 5 years,2,None,6
Construction and building inspectors,47-4011,147.6,146.5,-1.2,-0.8,14.8,72120,High school diploma or equivalent,7,5 years or more,1,Moderate-term on-the-job training,4
Writers and authors,27-3043,135.4,140.3,4.9,3.6,13.4,72270,Bachelor's degree,3,None,4,Long-term on-the-job training,3
Real estate brokers,41-9021,111.3,115,3.7,3.3,9.7,72280,High school diploma or equivalent,7,Less than 5 years,2,None,6
Surveyors,17-1022,56.1,58.6,2.5,4.4,3.9,72740,Bachelor's degree,3,None,4,Internship/residency,1
"Artists and related workers, all other",27-1019,13.9,14,0.1,0.8,1.2,72760,No formal educational credential,8,None,4,Long-term on-the-job training,3
Zoologists and wildlife biologists,19-1023,18.2,18.5,0.3,1.6,1.4,72860,Bachelor's degree,3,None,4,None,6
Human resources specialists,13-1071,944.3,1002.7,58.4,6.2,81.8,72910,Bachelor's degree,3,None,4,None,6
Computer network support specialists,15-1231,152.7,155.5,2.8,1.8,9.6,73340,Associate's degree,4,None,4,Moderate-term on-the-job training,4
Boilermakers,47-2011,10.4,10.1,-0.2,-2.4,0.8,73340,High school diploma or equivalent,7,None,4,Apprenticeship,2
Chemical plant and system operators,51-8091,18.1,17,-1.1,-6.1,1.6,73540,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Electrical and electronics drafters,17-3012,21.6,20.4,-1.2,-5.6,1.7,73720,Associate's degree,4,None,4,None,6
Dietitians and nutritionists,29-1031,90.9,95.9,5,5.5,6.2,73850,Bachelor's degree,3,None,4,Internship/residency,1
Historians,19-3093,3.4,3.5,0.1,2.2,0.3,74050,Master's degree,2,None,4,None,6
Railroad conductors and yardmasters,53-4031,36.8,37.2,0.4,1.1,3.1,74080,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Loan officers,13-2072,301.4,306.5,5,1.7,20.3,74180,Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
Executive secretaries and executive administrative assistants,43-6011,502.8,494.9,-7.9,-1.6,50,74260,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Control and valve installers and repairers, except mechanical door",49-9012,47.7,48.3,0.6,1.3,3.9,74690,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Instructional coordinators,25-9031,232.6,235.5,2.9,1.3,21.9,74720,Master's degree,2,5 years or more,1,None,6
"First-line supervisors of protective service workers, all other",33-1099,21.5,21.8,0.3,1.6,2.1,74960,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Social sciences teachers, postsecondary, all other",25-1069,20.7,21.1,0.4,1.7,1.5,75040,Doctoral or professional degree,1,None,4,None,6
Stationary engineers and boiler operators,51-8021,33.3,34,0.7,2.2,3.8,75190,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Editors,27-3041,115.8,116.5,0.7,0.6,9.8,75260,Bachelor's degree,3,Less than 5 years,2,None,6
Buyers and purchasing agents,13-1020,522.2,552.3,30.1,5.8,52.2,75650,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Recreation and fitness studies teachers, postsecondary",25-1193,15.4,15.7,0.4,2.4,1.1,75890,Doctoral or professional degree,1,None,4,None,6
"Social work teachers, postsecondary",25-1113,17.1,17.5,0.4,2.3,1.3,76210,Doctoral or professional degree,1,None,4,None,6
Police and sheriff's patrol officers,33-3051,698.8,720.8,22,3.1,53.7,76290,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
First-line supervisors of correctional officers,33-1011,57.1,55.5,-1.6,-2.8,4.3,76310,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Roof bolters, mining",47-5043,2.3,1.5,-0.8,-34.2,0.1,76640,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Insurance appraisers, auto damage",13-1032,9.2,8.4,-0.8,-8.2,0.5,76650,Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
"Claims adjusters, examiners, and investigators",13-1031,356.1,337.9,-18.2,-5.1,21.1,76790,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Funeral home managers,11-7100,32.1,33.4,1.3,4.1,2.6,76830,Associate's degree,4,Less than 5 years,2,None,6
Market research analysts and marketing specialists,13-1161,941.7,1004.7,63,6.7,87.2,76950,Bachelor's degree,3,None,4,None,6
"Foreign language and literature teachers, postsecondary",25-1124,26.4,26.4,0,-0.2,1.9,77010,Doctoral or professional degree,1,None,4,None,6
"Compensation, benefits, and job analysis specialists",13-1141,107,112.7,5.6,5.3,8.5,77020,Bachelor's degree,3,Less than 5 years,2,None,6
Cost estimators,13-1051,221.4,212.1,-9.3,-4.2,16.9,77070,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Entertainment and recreation managers, except gambling",11-7200,43.2,46.5,3.3,7.7,5.5,77180,Bachelor's degree,3,Less than 5 years,2,None,6
Electrical and electronic engineering technologists and technicians,17-3023,93.7,94.3,0.6,0.6,8.4,77180,Associate's degree,4,None,4,None,6
"Family and consumer sciences teachers, postsecondary",25-1192,3.2,3.3,0.1,3.4,0.2,77280,Doctoral or professional degree,1,None,4,None,6
"Engineering technologists and technicians, except drafters, all other",17-3029,67.3,68.3,1,1.5,5.7,77390,Associate's degree,4,None,4,None,6
